"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"f1565",0.0190428124493867,11.8196050184781,0.786275629941898,0.444745137723935,0.500602757304866,-7.58617286528119
"f2976",-0.0214587286114636,10.2849172441147,-0.784269787045889,0.445883188667328,0.501788253608685,-7.58778687668552
"f3302",0.0293530670508364,7.86491786890681,0.781487405230676,0.447464866833101,0.503472453360812,-7.59001947949122
"f3934",-0.0165175677001521,10.4137866086933,-0.78127596660372,0.447585206185859,0.503512075806267,-7.59018884200071
"f123",0.103622235379369,12.4987624794186,0.781002267014271,0.447741011395214,0.503591572999181,-7.5904080131982
"f3272",0.0182073265866638,9.80352679909051,0.778254086436625,0.449307325192694,0.505257191732849,-7.59260477790843
"f5142",-0.0265366162150062,8.98861741676691,-0.776834157127868,0.450117957409926,0.50607255618318,-7.59373701845447
"f4738",0.0634720256162336,6.04646628492987,0.776151145131247,0.450508213671981,0.506415067250051,-7.59428097104515
"f2878",0.0133402905879105,10.6740496357254,0.775085993783932,0.451117239131517,0.506982676626533,-7.59512838397813
"f3909",-0.0128578287995254,11.9963852820938,-0.774968268214116,0.451184583222666,0.506982676626533,-7.59522197850743
"f6844",0.0264176721627241,9.88115761766835,0.774490003567604,0.451458236079516,0.507193820780691,-7.59560207565617
"f469",0.00659393180654178,13.4147634153333,0.773655552739223,0.451935940458748,0.507634084279053,-7.59626473315524
"f617",-0.0129034150902445,12.8899919883976,-0.773042857965385,0.452286896268006,0.507931838128964,-7.59675087117086
"f195",0.0132202879869823,14.5894444113619,0.771158674294314,0.453367239978515,0.509048448077623,-7.59824364550593
"f3893",0.0469362953671286,6.9433137391301,0.769636336800071,0.454241289277002,0.509933047271488,-7.59944729672681
"f4798",-0.0258417238941409,8.30726643957373,-0.768924683345064,0.454650246029207,0.510295295116273,-7.60000922276142
"f3885",-0.0244829990441762,9.16793098791931,-0.768154162768551,0.455093290615145,0.510695658127222,-7.60061709183991
"f538",-0.00898255277834004,14.7417460497689,-0.76720509975956,0.455639366592866,0.511211466881032,-7.60136504413467
"f1952",-0.0176229512411208,10.3763035450138,-0.765674955435908,0.456520648705688,0.512103098254152,-7.60256915315213
"f6064",-0.0323678487615755,6.95718198785712,-0.759235584112701,0.460241019514995,0.516178541985437,-7.60761220654948
"f2653",-0.0127512191444836,13.548566511664,-0.758983086192223,0.460387283736523,0.516244698256215,-7.60780915350524
"f67",-0.00874638254276583,15.678671434635,-0.758101095067891,0.460898420195058,0.516719892997303,-7.60849662799411
"f2837",0.117773946835067,9.81822466954165,0.757316434086259,0.461353447062889,0.517132014284061,-7.60910761865549
"f3645",0.19691373136049,5.14561106478057,0.755903374276727,0.462173585914171,0.517953156627951,-7.6102064528663
"f6323",0.0392166841406079,6.81053271018853,0.75501407514258,0.462690197041202,0.518433891930046,-7.61089702638099
"f434",0.010583730613865,14.2947999961142,0.753057690779816,0.463827955677453,0.519587469324286,-7.61241359223632
"f25",-0.00779322549078998,15.761055583816,-0.75294177388871,0.463895422739062,0.519587469324286,-7.61250333574309
"f3923",0.0339906536200436,7.42013880164861,0.752012447567681,0.464436537288672,0.520095062109522,-7.61322236471258
