index	CD_1	CD_2	CD_3	Ctrl_1	Ctrl_2	Ctrl_3
hp2032	737.6	2319.9	2429.2	1795.3	2134.1	2464.6
hp2033	1003.9	1470.5	1973.9	1684.6	1458.1	1797.8
hp2034	17816.2	5976.5	8105.8	10919.5	5269.7	7072.5
hp2035	193.5	462.5	545.9	447.6	406.4	528.3
hp2036	250.5	533.7	677.2	592.4	463.3	622.6
hp2037	31.8	56.2	68.3	53.6	54.3	68.5
hp2038	111.6	235.6	301.5	234.8	247.4	254.4
hp2039	222.9	251.2	241.7	188.1	383.6	289.4
hp2040	3366.6	7478.2	14924.9	4368.9	6051.7	5752.8
hp2041	9089.1	11742.1	15990	11765.8	13866.7	14886.5
hp2042	4814.9	4412	7703.4	5227.7	4062.6	5269.5
hp2043	389.2	1831.1	1930.8	1429.1	1655.8	1737.9
hp2044	1057.9	1931	2414.1	1178.2	1551.5	1590.9
hp2045	84	175.5	235.5	182.7	172.2	209.5
hp2046	48.8	181.8	262.5	167.7	178.8	225.5
hp2047	282.4	531.8	717.1	525.2	553.3	659.5
hp2048	105.7	150.5	206.2	175.1	155.8	180
hp2049	1050.1	2800.8	3256.8	3026.6	2294.6	2898.9
hp2050	264.6	592.2	720.7	574	532	703.8
hp2051	252.8	495.3	784.7	582.2	519.1	645.3
hp2052	37.2	76	95.6	82.4	69.8	85
hp2054	533.7	1225.1	1480	1014.2	1269	1458.6
hp2055	136.9	252.8	263.8	270.3	210.2	251.9
hp2056	379.9	1313.9	1578.8	1088.9	1238.8	1483.2
hp2057	691.7	1396.8	1707	1612	1202.1	1516.8
hp2058	732.1	1356.9	1468.3	1118.8	1388.3	1502.1
hp2059	346.1	842.1	949	757.9	829.3	850.1
hp2060	375.1	741.1	909.1	669.9	734.2	903.5
hp2061	20.5	38.8	51.1	37.7	43.2	43.8
hp2062	21.6	47.4	53.8	44.6	49.1	45.4
hp2063	106	533.5	387.4	281.7	472.4	467.3
hp2064	7.2	10.4	16.1	14.7	11.1	12.2
hp2065	118.3	474.7	617	391.9	412.3	627.3
hp2066	333.5	306.1	444	349.7	277.2	358.7
